number,value,datetime_start,datetime_complete,duration,params_alpha,params_ent_coef,params_epsilon,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
29,-62.38799285888672,2023-04-18 23:02:05.043401,2023-04-18 23:06:03.090735,0 days 00:03:58.047334,0.9491184457812615,4.926529954846355e-06,0.00010238530291177231,0.947431644309398,8.70639854705965e-05,0.016241887693463176,794.2943718696861,0.5615555250514433,COMPLETE
30,-0.0,2023-04-18 23:02:14.556940,2023-04-18 23:06:44.934569,0 days 00:04:30.377629,0.9532172939768236,7.14102494704145e-06,0.00010537973640148911,0.9460101639170496,8.964338084613688e-05,0.017436835762274255,805.0985128874491,0.565812734963761,COMPLETE
31,-62.39198684692383,2023-04-18 23:02:15.097183,2023-04-18 23:06:22.521816,0 days 00:04:07.424633,0.953417617678211,5.701747369094143e-06,0.00011059579728418257,0.9478333618599768,0.00010119187471294829,0.016972908216025866,783.414382273566,0.5762672997330287,COMPLETE
32,-0.0,2023-04-18 23:04:27.254702,2023-04-18 23:06:31.845869,0 days 00:02:04.591167,0.9500064339014194,1.0654325612309334e-06,2.2904165564860354e-05,0.9473502936025051,7.68104676712619e-05,0.019585655776411217,601.7291128997766,0.5307860389845837,COMPLETE
33,-84.02398681640625,2023-04-18 23:06:03.129066,2023-04-18 23:08:29.559157,0 days 00:02:26.430091,0.9367878620302283,4.847907768530017e-07,2.4616145415637362e-05,0.9260801160115434,3.256284488535697e-05,0.021688086967374294,527.2043246192121,0.52728609758103,COMPLETE
34,-1.6169992685317993,2023-04-18 23:06:22.526274,2023-04-18 23:08:30.292524,0 days 00:02:07.766250,0.9339061567018874,5.0955915059942244e-05,4.704988449598528e-05,0.9590817763725534,3.164974386524606e-05,0.027202444849699876,374.9905973825482,0.5312810266240374,COMPLETE
35,-80.8229751586914,2023-04-18 23:06:31.851465,2023-04-18 23:08:26.204750,0 days 00:01:54.353285,0.938457158612988,6.457398110744865e-05,2.554545756460552e-05,0.9589577139239779,3.225032975214663e-05,0.023991699534844726,337.31012464032904,0.5348817281125666,COMPLETE
36,-0.0,2023-04-18 23:06:44.939904,2023-04-18 23:08:30.037435,0 days 00:01:45.097531,0.9312397003765662,5.298579334878827e-05,2.7198336723419793e-05,0.9593744563652662,3.357730080965578e-05,0.026270762006251232,339.85446436787964,0.5297283571201373,COMPLETE
37,-82.96398162841797,2023-04-18 23:08:26.213155,2023-04-18 23:10:46.670488,0 days 00:02:20.457333,0.9388792650691242,2.0603344141648463e-07,4.161922033882164e-05,0.9254676330714791,0.00016767245968739227,0.014665957133429133,516.2269053616832,0.6078707723742033,COMPLETE
38,-0.1509999930858612,2023-04-18 23:08:29.561954,2023-04-18 23:10:40.845553,0 days 00:02:11.283599,0.9394972454682856,2.311354585564138e-07,5.977120070589045e-05,0.9196565666617439,1.7197258467017295e-05,0.013980086150084763,481.3642961610341,0.6072580771649434,COMPLETE
